subgroup,year,percentile,Annuitized Financial Income,DB Pension Income,Earned Income,Federal Income Tax,HI tax,Imputed Rental Income,Means+Nonmeans Benefits,Medicare Part B Premium,Medicare Part D Premium,Medicare Surtax,Net Annuity Income,Net Cash Income,OASDI tax,Other Family Member Income,Own Benefit,Own Earnings,Per Capita Annuity Income,Per Capita BMB,Per Capita Cash Income,Per Capita Dividend Income,Per Capita Interest Income,Per Capita IRA Withdrawal,Per Capita Rental Income,Social Security Benefits,Spouse Benefit,Spouse Earnings,SSI,State Income Tax,group
All Individuals,2025,P75,20025,4981,18139,3912,233,5711,0,1862,700,0,63508,43317,1070,0,21239,11992,73326,0,51718,48,305,2928,0,19909,13228,0,0,526,All Individuals
All Individuals,2025,P90,54827,16358,43247,10038,597,11397,0,1862,700,0,107207,66216,2740,16142,26306,43211,125616,0,82902,3609,2195,10253,0,24520,22577,35968,0,2015,All Individuals
All Individuals,2025,P95,96237,27229,64148,16406,895,16579,7954,2607,700,1,154633,85006,4106,61280,28946,68075,178106,893,108801,10648,4962,17181,2769,27072,26481,62640,0,3559,All Individuals
All Individuals,2025,P99,300022,55917,121858,44342,1731,32957,17441,4842,1783,1534,350806,136395,7154,93524,33437,139555,393234,4261,191697,38494,17383,40994,27486,32315,32220,134591,6031,9696,All Individuals
All Individuals,2035,P10,256.83999999999997,0,0,0,0,0,0,2346.06,0,0,9928.07,7869.13,0,0,0,0,13069.23,0,11015.82,0,0,0,0,0,0,0,0,0,All Individuals
All Individuals,2035,P25,1714.5,0,0,0,0,504.3,0,2346.1,0,0,18446,13699.2,0,0,8164.1,0,21929.9,0,16929.3,0,0,0,0,9240.9,0,0,0,0,All Individuals
All Individuals,2035,P5,-10.74,0,0,0,0,0,0,0,0,0,5958.32,4082.32,0,0,0,0,9124.14,0,7307.45,0,0,0,0,0,0,0,0,0,All Individuals
All Individuals,2035,P50,7027.8,0,0,10.5,0,2379.6999999999998,0,2346.1,881.4,0,35436.5,25424,0,0,14928.9,0,40764.800000000003,0,29858.6,0,0,99.2,0,14643.2,0,0,0,0,All Individuals
All Individuals,2035,P75,22903,2378,16848,4107,218,6040,0,2346,881,0,65454,44449,1008,0,22094,8281,76088,0,54073,44,368,4837,0,20820,13357,0,0,448,All Individuals
All Individuals,2035,P90,60778,10879,45201,11029,626,12638,0,2346,881,0,113884,68985,2893,19284,27344,45169,133874,172,87434,4286,2555,14945,0,25886,22360,34404,0,1950,All Individuals
All Individuals,2035,P95,106168,21164,69818,18312,980,19104,8026,3284,1210,292,163030,89201,4528,68991,30282,73083,192542,2201,117744,12248,5722,23896,3129,28920,26306,63694,0,3638,All Individuals
All Individuals,2035,P99,316404,54756,134904,52564,1930,41060,19001,6100,2247,2101,365783,149002,8203,119693,35569,153781,417293,5614,213236,44309,20404,52122,29500,36003,32182,144229,4098,10620,All Individuals
All Individuals,2045,P10,333.33,0,0,0,0,0,0,2977.43,0,0,9824.9599999999991,7501.91,0,0,0,0,13820.3,0,11477.32,0,0,0,0,0,0,0,0,0,All Individuals
All Individuals,2045,P25,2085.3000000000002,0,0,0,0,349.7,0,2977.4,0,0,18104.2,13314.5,0,0,8345.7000000000007,0,22383.9,0,17274.2,0,0,0,0,9795,0,0,0,0,All Individuals
All Individuals,2045,P5,-0.5,0,0,0,0,0,0,0,0,0,4867.7299999999996,2555.6,0,0,0,0,9113.06,0,6586.78,0,0,0,0,0,0,0,0,0,All Individuals
All Individuals,2045,P50,7848.3,0,0,0,0,2419.1,0,2977.4,1118.5999999999999,0,35817.1,25400.7,0,0,15469.7,0,42027.199999999997,0,30805.4,0,0,466.5,0,15178.4,0,0,0,0,All Individuals
All Individuals,2045,P75,25222,714,16750,4386,216,6342,0,2977,1119,0,67346,46043,999,0,22914,6351,79677,0,56555,26,400,6388,0,21674,12984,0,0,436,All Individuals
All Individuals,2045,P90,66702,5904,49900,12708,699,13754,0,2977,1119,170,121328,73432,3230,21552,28962,48043,143655,1040,95634,4502,2930,18969,0,27561,22383,35291,0,2081,All Individuals
All Individuals,2045,P95,114759,14782,77033,21698,1097,21360,8998,5955,1535,667,174503,96494,5071,77104,32453,80037,209003,3235,131133,13241,6467,31319,3664,31530,26614,70665,0,3935,All Individuals
All Individuals,2045,P99,342202,52554,150842,62005,2177,50444,20986,9528,2851,3031,403273,166742,9180,133768,40158,175482,475789,6880,243488,53998,23465,71480,32947,40957,33067,167754,1759,11631,All Individuals
All Individuals,2055,P10,417.74,0,0,0,0,0,0,3717.23,0,0,10160.52,7639.63,0,0,0,0,15179.6,0,12689.84,0,0,0,0,0,0,0,0,0,All Individuals
All Individuals,2055,P25,2558.8000000000002,0,0,0,0,0,0,3717.2,0,0,19122.2,13781.5,0,0,8657,0,24420.2,0,18789.599999999999,0,0,0,0,10365.9,0,0,0,0,All Individuals
All Individuals,2055,P5,2.5099999999999998,0,0,0,0,0,0,0,0,0,4438.13,1776.78,0,0,0,0,9746.11,0,6905.59,0,0,0,0,0,0,0,0,0,All Individuals
All Individuals,2055,P50,9075.7000000000007,0,0,167.2,0,2621.9,0,3717.2,1396.5,0,38302.699999999997,27168.3,0,0,16634.8,0,45809.9,0,33809.300000000003,0,0,744.6,0,16366.2,0,0,0,0,All Individuals
All Individuals,2055,P75,27285,0,20630,5200,275,6859,0,3717,1397,1,72581,50110,1272,0,24710,10618,87688,0,63627,25,414,7824,0,23276,13843,0,0,486,All Individuals
All Individuals,2055,P90,69527,3515,58072,15207,820,15090,0,3717,1397,467,127317,80642,3789,23999,31955,56089,155064,1390,107093,4996,3037,21836,0,30391,23793,42441,0,2320,All Individuals
All Individuals,2055,P95,119160,11681,87765,26001,1245,23115,10403,7434,1917,1061,181309,106385,5753,85859,36477,92162,220619,3931,146223,14938,7148,35770,3790,35169,28641,81210,0,4265,All Individuals
All Individuals,2055,P99,346235,51315,175007,71757,2501,58189,23510,11895,4381,3531,422867,187121,10522,148956,45906,201835,500507,8024,287204,57059,27263,79807,38254,46349,36609,184928,0,12652,All Individuals
All Individuals,2065,P10,482.21,0,0,0,0,0,0,4517.92,0,0,10555.21,7927.42,0,0,0,0,16746.32,0,14104.06,0,0,0,0,0,0,0,0,0,All Individuals
All Individuals,2065,P25,2897.2,0,0,0,0,0,0,4517.8999999999996,0,0,20594.400000000001,15113.4,0,0,9860.2000000000007,0,27160.5,0,21299.5,0,0,0,0,11559.4,0,0,0,0,All Individuals
All Individuals,2065,P5,13.76,0,0,0,0,0,0,0,0,0,4414.2700000000004,1380.77,0,0,0,0,11078.26,0,7822.87,0,0,0,0,0,0,0,0,0,All Individuals
All Individuals,2065,P50,10259,0,0,459.1,0,2884,0,4517.8999999999996,1697.3,0,41288.6,30180.1,0,0,18426.400000000001,0,50465.7,0,38417.1,0,0,1418.9,0,18196.099999999999,0,0,0,0,All Individuals
All Individuals,2065,P75,29500,0,22328,6711,297,7632,0,4518,1697,122,77287,55176,1371,0,27561,10879,95012,0,71122,32,502,10745,0,25888,15334,0,0,554,All Individuals
All Individuals,2065,P90,71412,3088,63825,18660,898,16820,0,6325,1697,700,132616,89264,4149,26686,35923,62530,166122,1586,121606,5473,3530,27073,0,34023,26241,46879,0,2567,All Individuals
All Individuals,2065,P95,122701,12020,96857,32183,1383,26336,11166,9036,3328,1407,190664,118066,6391,95473,40868,102895,240661,4435,167080,16206,8072,43041,4483,39696,31722,88889,0,4763,All Individuals
All Individuals,2065,P99,340215,51399,200286,82752,2859,65162,26072,14457,5325,4221,411920,205396,12219,165636,51327,227015,510952,9093,313046,64654,29498,96965,43373,51945,40316,206075,0,14584,All Individuals
Bottom Quintile (Lifetime Earnings),2015,P10,-54.14,0,0,0,0,0,0,1500.08,0,0,1162.25,-747.93,0,0,0,0,2943.66,0,1076.4000000000001,0,0,0,0,0,0,0,0,0,Lifetime Earnings Quintile
Bottom Quintile (Lifetime Earnings),2015,P25,0,0,0,0,0,0,0,1500.1,513.6,0,6627.3,5273.1,0,0,0,0,8561.7000000000007,0,7235.4,0,0,0,0,0,0,0,0,0,Lifetime Earnings Quintile
Bottom Quintile (Lifetime Earnings),2015,P5,-69.849999999999994,0,0,0,0,0,0,1500.08,0,0,-1654.32,-2013.65,0,0,0,0,-34.71,0,0,0,0,0,0,0,0,0,0,0,Lifetime Earnings Quintile
Bottom Quintile (Lifetime Earnings),2015,P50,431,0,0,0,0,0,0,1500.1,513.6,0,10788.6,8820,0,0,6763.7,0,12707,0,10761.5,0,0,0,0,6763.7,0,0,0,0,Lifetime Earnings Quintile
Bottom Quintile (Lifetime Earnings),2015,P75,2223,0,0,0,0,1581,0,1500,514,0,18762,14469,0,10580,10326,0,21011,0,16602,0,7,0,0,10146,3043,0,0,0,Lifetime Earnings Quintile
Bottom Quintile (Lifetime Earnings),2015,P90,7249,3188,11470,425,142,4065,0,1500,514,0,30279,24032,609,24647,13380,6660,33505,0,27189,22,304,487,0,13404,10756,7797,3480,82,Lifetime Earnings Quintile
Bottom Quintile (Lifetime Earnings),2015,P95,15643,6308,20707,1886,266,6362,5393,1500,514,0,40820,31332,1136,66422,15866,16281,45115,0,35660,1015,950,2046,0,16083,13818,22229,6823,433,Lifetime Earnings Quintile
Bottom Quintile (Lifetime Earnings),2015,P99,64671,16816,42469,6008,558,12317,14384,1500,514,0,84640,51729,2384,90510,20735,40989,94994,0,63735,7948,5036,8373,11863,21049,20376,66154,9710,2374,Lifetime Earnings Quintile
Bottom Quintile (Lifetime Earnings),2025,P10,-61.9,0,0,0,0,0,0,1862.3,0,0,420.44,-1301.48,0,0,0,0,2738.23,0,839.08,0,0,0,0,0,0,0,0,0,Lifetime Earnings Quintile
Bottom Quintile (Lifetime Earnings),2025,P25,3.7,0,0,0,0,0,0,1862.3,699.6,0,6801.1,6044.4,0,0,0,0,9216.1,0,8528.9,0,0,0,0,0,0,0,0,0,Lifetime Earnings Quintile
Bottom Quintile (Lifetime Earnings),2025,P5,-84.81,0,0,0,0,0,0,1862.3,0,0,-2136.19,-2561.89,0,0,0,0,-46.16,0,0,0,0,0,0,0,0,0,0,0,Lifetime Earnings Quintile
Bottom Quintile (Lifetime Earnings),2025,P50,506.7,0,0,0,0,0,0,1862.3,699.6,0,11143.9,9241.4,0,0,8306.4,0,13554.1,0,11657.1,0,0,0,0,8705.4,0,0,0,0,Lifetime Earnings Quintile
Bottom Quintile (Lifetime Earnings),2025,P75,2129,0,570,0,0,1443,0,1862,700,0,18428,14956,0,13775,11405,0,21281,277,17576,0,10,0,0,11379,5360,0,0,0,Lifetime Earnings Quintile
Bottom Quintile (Lifetime Earnings),2025,P90,6258,1649,13988,652,165,3585,0,1862,700,0,29064,23795,755,61280,13989,9515,32794,2684,27620,39,344,628,0,13849,11351,10566,0,105,Lifetime Earnings Quintile
Bottom Quintile (Lifetime Earnings),2025,P95,11946,3456,22660,1902,295,6015,6694,1862,700,0,37729,31221,1353,78020,16588,20000,43837,4021,36678,1162,864,2001,0,16719,14558,26583,5881,467,Lifetime Earnings Quintile
Bottom Quintile (Lifetime Earnings),2025,P99,46581,11416,42640,5713,596,13028,15450,1862,700,0,68428,49728,2733,106314,22146,40163,77300,6250,60236,9107,4477,8591,10029,22261,21688,64230,9193,1675,Lifetime Earnings Quintile
Bottom Quintile (Lifetime Earnings),2035,P10,-65.53,0,0,0,0,0,0,2346.06,0,0,-290.92,-2284.4499999999998,0,0,0,0,2695.63,0,637.87,0,0,0,0,0,0,0,0,0,Lifetime Earnings Quintile
Bottom Quintile (Lifetime Earnings),2035,P25,43,0,0,0,0,0,0,2346.1,881.4,0,6809.8,5771.2,0,0,0,0,9970.6,0,8775,0,0,0,0,0,0,0,0,0,Lifetime Earnings Quintile
Bottom Quintile (Lifetime Earnings),2035,P5,-92.68,0,0,0,0,0,0,2346.06,0,0,-2617.6,-3227.49,0,0,0,0,233.74,0,0,0,0,0,0,0,0,0,0,0,Lifetime Earnings Quintile
Bottom Quintile (Lifetime Earnings),2035,P50,636.1,0,0,0,0,0,0,2346.1,881.4,0,11340.1,9409.4,0,0,8830.2999999999993,0,14368.4,0,12432.6,0,0,0,0,9685,0,0,0,0,Lifetime Earnings Quintile
Bottom Quintile (Lifetime Earnings),2035,P75,2474,0,53,0,0,1589,0,2346,881,0,18388,14346,0,15508,12149,0,21882,1660,17574,0,11,1,0,12390,6383,0,0,0,Lifetime Earnings Quintile
Bottom Quintile (Lifetime Earnings),2035,P90,6724,780,14096,851,162,3959,0,2346,881,0,29050,23821,748,39788,14318,8998,33787,4044,28619,12,343,729,0,14156,12046,8143,0,91,Lifetime Earnings Quintile
Bottom Quintile (Lifetime Earnings),2035,P95,12186,2082,24241,2479,314,6638,6063,2346,881,0,39233,31933,1452,87838,16513,20618,44704,5455,38679,1084,992,2016,0,16759,14792,25756,3519,435,Lifetime Earnings Quintile
Bottom Quintile (Lifetime Earnings),2035,P99,38522,8316,51284,7806,705,16143,17503,2346,881,0,70518,57741,3260,119693,21474,49689,82918,7577,70048,8270,4983,7772,11518,22111,22074,75363,8567,1741,Lifetime Earnings Quintile
Bottom Quintile (Lifetime Earnings),2045,P10,-66.17,0,0,0,0,0,0,2977.43,0,0,-1367.48,-2977.43,0,0,0,0,2491.58,0,223.96,0,0,0,0,0,0,0,0,0,Lifetime Earnings Quintile
Bottom Quintile (Lifetime Earnings),2045,P25,60.9,0,0,0,0,0,0,2977.4,1118.5999999999999,0,6645.5,5264.6,0,0,0,0,10530.1,0,9138.1,0,0,0,0,0,0,0,0,0,Lifetime Earnings Quintile
Bottom Quintile (Lifetime Earnings),2045,P5,-93.36,0,0,0,0,0,0,2977.43,0,0,-3549.9,-4096.0600000000004,0,0,0,0,124.77,0,0,0,0,0,0,0,0,0,0,0,Lifetime Earnings Quintile
Bottom Quintile (Lifetime Earnings),2045,P50,797.2,0,0,0,0,0,0,2977.4,1118.5999999999999,0,11671.4,9649.2000000000007,0,0,9272,0,15536.4,0,13434.8,0,0,0,0,10515.4,0,0,0,0,Lifetime Earnings Quintile
Bottom Quintile (Lifetime Earnings),2045,P75,2979,0,0,0,0,1608,0,2977,1119,0,19276,14605,0,17332,13195,0,23517,2432,18660,0,12,68,0,13507,5558,0,0,0,Lifetime Earnings Quintile
Bottom Quintile (Lifetime Earnings),2045,P90,7643,234,13721,821,162,4156,0,2977,1119,0,30569,24620,751,77104,15088,9894,36224,5166,30212,4,436,987,0,15076,12484,3827,0,86,Lifetime Earnings Quintile
Bottom Quintile (Lifetime Earnings),2045,P95,12934,1189,24706,2483,319,6889,8691,2977,1119,0,42319,33852,1476,117675,17242,20740,48636,6653,41140,1210,1245,2317,0,17323,15182,25444,1445,449,Lifetime Earnings Quintile
